sifra_bs;naziv;brend;adresa;mesto;gps_lat;gps_lon
091;B.S. SOKOBANJA 2;1;Alekse Markišića b.b.;ZAJECAR;43.65323300;21.84244000
093;B.S. VELIKA  PLANA  - AUTOPUT DESNA;1;Autoput Beograd - Niš;VELIKA PLANA;44.34491900;21.07842900
094;B.S. LEŠTAR;1;Petrijevska bb;SMEDEREVO;44.65397400;20.91078000
141;B.S. PRELJINA 2;2;Preljina bb;PRELJINA;43.91299700;20.40825200
158;PRODAVNICA  RNP;1;Spoljnostarčevačka 199;PANCEVO;44.88239000;20.66135600
187;B.S. STARA MORAVICA;1;Svetog Stevana bb;STARA MORAVICA;45.86929300;19.46755900
189;B.S. KANJIŽA 2;1;Subotički put 55;KANJIZA;46.07236900;20.05586400
200;B.S. BAJMOK;1;Subotički put bb;BAJMOK;45.96928600;19.43363400
231;B.S. PALIĆ;1;Splitska aleja bb;PALIC;46.10234500;19.76210800
252;B.S. DOLOVO;1;Kralja Petra bb;PANCEVO;44.89706700;20.87496800
254;B.S.  AERODROM;1;Dimitrija Tucovića bb;PANCEVO;44.88567400;20.63129400
263;B.S. LESKOVAC GRAD 5;1;Stanoja Glavaša bb;LESKOVAC;42.99377200;21.93122100
274;B.S. PLINARA;2;Miloša Obrenovića 8;PANCEVO;44.86893700;20.65719400
281;B.S. KOVIN;1;Smederevski put bb;KOVIN;44.73238000;20.96601200
282;B.S. OPOVO;1;Beogradska bb;OPOVO;45.05205600;20.42040800
300;B.S. VRŠAC 1;1;Miloša Obilica 1;VRSAC;45.12840300;21.28854300
301;B.S. VRŠAC 2;1;Beogradski put bb;VRSAC;45.10713800;21.28105400
305;B.S. SUBOTICA 1;1;Beogradski put 223;SUBOTICA;46.06492300;19.68110600
306;B.S. SUBOTICA 2;1;Puškinov trg bb;SUBOTICA;46.09655100;19.67078400
308;B.S. SUBOTICA 4;1;Somborski put bb;SUBOTICA;46.08959900;19.64514300
309;B.S. ULJMA;1;Žarka Zrenjanina bb;ULJMA;45.04527600;21.15417500
314;B.S. SENTA 1;1;Petefi Šandora bb;SENTA;45.93182100;20.06852400
315;B.S. SENTA 2;1;Novosadski put bb;SENTA;45.91499800;20.08358700
339;B.S. KRAGUJEVAC 7 - ELEKTROŠUMADIJA;2;Miodraga Vlajića Šuke b.b.;KRAGUJEVAC;44.02837500;20.91820500
342;B.S. PANČEVO 2;1;Novoseljanski put bb;PANCEVO;44.88239000;20.66135600
343;B.S. PANČEVO 3;1;Spoljnostarčevačka bb;PANCEVO;44.84958200;20.66234400
346;B.S. SRPSKA CRNJA;1;Kralja Aleksandra bb;SRPSKA CRNJA;45.72883100;20.69620400
347;B.S. RUSKO SELO;1;Bratstva jedinstva bb;RUSKO SELO;45.75829300;20.57709200
348;B.S. NOVI KNEŽEVAC;1;Karađorđeva 113;NOVI KNEZEVAC;46.02889500;20.09307100
355;B.S. ČOKA;1;Put za Kikindu bb;COKA;45.93534000;20.14034300
356;B.S. LEŠTANE;1;Kružni put br.26;GROCKA;44.66468100;20.72845500
358;B.S. MOKRIN;1;Branka Bačulova bb;KIKINDA;45.93360200;20.42111600
361;B.S. KIKINDA 3;1;Kralja Petra I bb;KIKINDA;45.83747100;20.47789300
362;B.S. KIKINDA 4;1;Beogradski put bb;KIKINDA;45.81655000;20.43697400
364;B.S. KUMANE;1;Odadžić Ljubice bb;KUMANE;45.53453200;20.22911300
365;B.S. NOVI BEČEJ;1;Ive Lole Ribara 46;NOVI BECEJ;45.58733900;20.14251000
367;B.S. ADA;1;Molski put bb;ADA;45.78322600;20.13622300
368;B.S. KRUŠEVAC 5;1;Kosovska bb;KRUSEVAC;43.57187200;21.32924800
369;B.S. ŽITIŠTE;1;Temišvarski drum bb;SIMANOVCI;45.48101700;20.55301700
371;B.S. KOVAČICA;1;JNA BB;KOVACICA;45.11333900;20.61842000
378;B.S. TOMAŠEVAC;1;Željeznička bb;ZRENJANIN;45.24871600;20.60560900
381;B.S. ZRENJANIN 1;1;Brigadira Ristića bb;ZRENJANIN;45.38229000;20.38399500
382;B.S. ZRENJANIN 2;1;Beogradski put bb;ZRENJANIN;45.34862300;20.42296200
383;B.S. ZRENJANIN 3;1;Pančevačka BB;ZRENJANIN;45.34862000;20.42296000
384;B.S. ZRENJANIN 4;1;Miletićeva bb;ZRENJANIN;45.38484300;20.41173900
387;B.S. ZRENJANIN 7;1;Žarka Zrenjanina bb;ZRENJANIN;45.39870500;20.37732100
388;B.S. ZRENJANIN 8;1;Beogradska bb;ZRENJANIN;45.37570200;20.40995800
389;B.S. ZRENJANIN 9;1;Titelski red bb;ZRENJANIN;45.36424400;20.39107600
390;B.S. ČANTAVIR;1;Topolački put bb;CANTAVIR;45.92568400;19.74880500
391;B.S. STARI BANOVCI - AUTOPUT;1;Auto put BG-NS;STARI BANOVCI;44.97141800;20.23351200
393;B.S. BEOČIN;1;Kamenički put bb;ZABALJ;45.20854700;19.73217500
394;B.S. SREMSKI KARLOVCI;1;Preradovićeva bb;SREMSKI KARLOVCI;45.20339700;19.93801800
395;B.S. INĐIJA 1;1;Kralja Petra I;INDJIJA;45.04117700;20.08809300
396;B.S. INĐIJA 2;1;Vojvode Putnika bb;INDJIJA;45.05373000;20.09757800
399;B.S. IRIG;1;Rumski put bb;IRISKI VENAC;45.08379200;19.85577100
403;B.S. KLJAJIĆEVO;1;Lenjinova bb;KLJAJICEVO;45.76689700;19.29184200
410;B.S. VRBAS 1;1;Srbobranski put BB;VRBAS;45.57199700;19.66469000
412;B.S. VRBAS 3;1;Kulski put bb;VRBAS;45.58279000;19.61750500
414;B.S. STANIŠIĆ;1;Oslobođenja bb;SOMBOR;45.93377400;19.16586400
419;B.S. KULA;1;Marsala Tita bb;KULA;45.60718800;19.54356200
420;B.S. CRVENKA;1;Marsala Tita bb;CRVENKA;45.66278500;19.44670200
421;B.S. GORNJI MILANOVAC 2;1;Obilazni  put bb;GORNJI MILANOVAC;44.01807500;20.46353800
423;B.S. APATIN-MARINA;1;Dunavska obala bb;APATIN;45.68640900;18.98424600
424;B.S. APATIN 2;1;Somborska bb;APATIN;45.68640900;18.98424600
426;B.S. SIVAC;1;Marsala Tita bb;SIVAC;45.70694400;19.38067700
431;B.S. SOMBOR 1;1;Venac Vojvode Petra Bojovića bb;SOMBOR;45.77065200;19.11290700
432;B.S. SOMBOR 2;1;Filipa Kljajica bb;SOMBOR;45.76696200;19.13453600
433;B.S. SOMBOR 3;1;Konjoviceva bb;SOMBOR;45.78359100;19.11897900
434;B.S. ČAČAK 3;1;Bulevar oslobodilaca bb;CACAK;43.88068200;20.32992100
436;B.S. KISAČ;1;Dr. Janka Gombara bb;KISAC;45.34727100;19.72676800
439;B.S. ZMAJEVO;1;Ive Lole Ribara bb;VRBAS;45.45387300;19.68741400
440;B.S. BEČEJ;1;Gerberovih bb;BECEJ;45.61600700;20.05011300
441;B.S. DOLJEVAC GRAD;1;Selo Kočane b.b. Doljevac;DOLJEVAC;43.19191200;21.83378200
442;B.S. BAČKO PETROVO SELO;1;Patrijarha V.Prodanova 1;BAcKO PETROVO SELO;45.70301800;20.08657000
445;B.S. SRBOBRAN 1;1;Novosadski put bb;SRBOBRAN;45.53307300;19.78961700
450;B.S. DURLAN;1;Knjaževačka b.b;NIS;43.32971300;21.94150000
452;B.S. FONTANA;2;Gornja Toponica, autoput Niš-Beograd;NIS;43.38561100;21.80766800
453;B.S. TRGOVIŠTE;1;Ulica JNA  br 3;TRGOVISTE;42.36489100;22.07960100
454;B.S. BRANIČEVO;1;Golubački put bb;GOLUBAC;44.69939900;21.53652900
455;B.S. PRIJEPOLJE;1;Kolovrat bb;PRIJEPOLJE;43.36576200;19.63492900
469;B.S. ČURUG;1;Svetozara Miletića bb;NOVI SAD;45.46865700;20.05425500
475;B.S. NAIS;2;Gornja Toponica, autoput Beograd-Niš;NIS;43.37988100;21.80929900
476;B.S. ŠAJKAŠ;1;Novosadski put bb;NOVI SAD;45.27326400;20.08129100
477;B.S. KRAGUJEVAC 6;1;Avalska b.b.;KRAGUJEVAC;44.02741000;20.91219700
480;B.S. ĐURĐEVO;1;Kralja Petra bb;DJURDJEVO;45.31635000;20.06830900
481;B.S. NOVI SAD 1;2;Maksima Gorkog 1;NOVI SAD;45.24944500;19.84457000
483;B.S. NOVI SAD 3;1;Braće Ribnikara bb;NOVI SAD;45.24910200;19.83302600
484;B.S. NOVI SAD 4;1;Futoški put   93/d;NOVI SAD;45.24399500;19.79399400
485;B.S. NOVI SAD 5;1;Sent Andrejski put bb;NOVI SAD;45.27225500;19.83092300
486;B.S. NOVI SAD 6;1;Karlovački drum bb;NOVI SAD;45.23146400;19.89338600
487;B.S. NOVI SAD 7;1;Rumenački put bb;NOVI SAD;45.26871400;19.81148200
488;B.S. NOVI SAD 8;1;Ćirila i Metodija bb;NOVI SAD;45.23755800;19.81547400
491;B.S. NOVI SAD 10;1;Sent Andrejski put bb;NOVI SAD;45.27221200;19.83053700
492;B.S. NOVI SAD 11;1;Bulevar Cara Lazara bb;NOVI SAD;45.24290100;19.83933400
